from_newsgroup,to_newsgroup,number_of_references,references_from_newsgroup,references_out_of_newsgroup
no.embnet,no.stortinget,7,178,157
no.embnet,no.tegnsett,7,178,157
no.embnet,no.telepost,7,178,157
no.eunet.diverse,no.ai,7,89,51
no.eunet.diverse,no.alkohol,7,89,51
no.eunet.diverse,no.alt.arkiv,7,89,51
no.eunet.diverse,no.alt.config,7,89,51
no.eunet.diverse,no.alt.diskusjoner,7,89,51
no.eunet.diverse,no.alt.god.jul,7,89,51
no.eunet.diverse,no.alt.motorsykler,7,89,51
no.eunet.diverse,no.alt.radio_tv.irma1000,7,89,51
no.eunet.diverse,no.kjemi,7,89,51
no.eunet.diverse,no.linux,7,89,51
no.eunet.diverse,no.litteratur,7,89,51
no.eunet.diverse,no.mac,7,89,51
no.eunet.diverse,no.mail.diverse,7,89,51
no.eunet.diverse,no.mail.drift,7,89,51
no.eunet.diverse,no.marked,7,89,51
no.eunet.diverse,no.multimedia,7,89,51
no.eunet.diverse,no.net,7,89,51
no.eunet.diverse,no.news.drift,7,89,51
no.eunet.diverse,no.norsk,7,89,51
no.eunet.diverse,no.nuug,7,89,51
no.eunet.diverse,no.org.efn.diskusjon,7,89,51
no.eunet.diverse,no.pc,7,89,51
no.eunet.diverse,no.psykologi,7,89,51
no.eunet.diverse,no.radio_tv,7,89,51
no.eunet.diverse,no.slekt,7,89,51
no.eunet.diverse,no.sources.list,7,89,51
no.eunet.diverse,no.sources.wanted,7,89,51
no.eunet.diverse,no.speider,7,89,51
no.eunet.diverse,no.spill,7,89,51
no.eunet.diverse,no.sport.diverse,7,89,51
no.eunet.diverse,no.stortinget,7,89,51
no.eunet.diverse,no.tegnsett,7,89,51
no.eunet.diverse,no.telepost,7,89,51
no.eunet.diverse,unknown,7,89,51
no.eunet.drift,no.ai,7,227,55
no.eunet.drift,no.alkohol,7,227,55
no.eunet.drift,no.alt.arkiv,7,227,55
no.eunet.drift,no.alt.config,7,227,55
no.eunet.drift,no.alt.god.jul,7,227,55
no.eunet.drift,no.alt.motorsykler,7,227,55
no.eunet.drift,no.alt.radio_tv.irma1000,7,227,55
no.eunet.drift,no.kjemi,7,227,55
