from_newsgroup,to_newsgroup,number_of_references,references_from_newsgroup,references_out_of_newsgroup
no.marked.data,no.musikk,665,33874,20913
no.news.diverse,no.linux,664,62629,27354
no.marked,no.net,663,50284,36323
no.musikk,no.film,663,140052,23221
no.vitser,no.pc,662,23838,5996
no.news.diverse,no.mail.drift,661,62629,27354
no.elektronikk,no.multimedia,659,24612,17793
no.general,no.lisp,656,572652,195646
no.general,no.kjemi,655,572652,195646
no.net,no.marked,655,23765,19184
no.tele,no.alt.diskusjoner,652,19324,7115
no.alt.motorsykler,no.marked,651,272638,18101
no.marked.data,no.audio,647,33874,20913
no.spill,no.general,646,30675,6456
no.unix,unknown,645,14256,4998
no.marked,no.alt.frustrasjoner,644,50284,36323
no.jus,no.org.efn.diskusjon,642,59888,34547
no.marked.jobb,no.general,640,20015,16808
no.mac,no.marked.data,636,71238,24654
no.general,no.uninett.skole,635,572652,195646
no.alt.gledesutbrudd,no.general,632,34672,9680
no.jus,no.net,632,59888,34547
no.audio,no.elektronikk,631,47065,21499
no.psykologi,no.vit.diverse,627,17960,9534
no.c,no.general,625,23413,17227
no.elektronikk,no.audio,623,24612,17793
no.litteratur,no.medisin,622,29283,20463
no.mail.diverse,no.news.diverse,622,26660,21940
no.linux,no.medisin,621,55051,23868
no.prat.politikk,unknown,621,51683,26609
no.vitser,no.alt.diskusjoner,616,23838,5996
no.jus,no.linux,615,59888,34547
no.marked.data,no.mac,610,33874,20913
no.general,no.mac,609,572652,195646
no.general,no.psykologi,605,572652,195646
no.mac,no.net,605,71238,24654
no.film,no.musikk,603,51355,19630
no.jus,no.tele,597,59888,34547
no.news.diverse,no.multimedia,593,62629,27354
no.general,no.bil,588,572652,195646
no.mail.drift,no.medisin,585,20201,18601
no.general,no.news.drift,584,572652,195646
no.tele,no.biz.nettilbydere,583,19324,7115
no.ms-windows,no.multimedia,581,21902,9781
no.multimedia,no.medisin,579,31206,26667
no.medisin,no.marked,577,14388,9060
no.mail.diverse,no.medisin,576,26660,21940
no.mail.diverse,no.jus,575,26660,21940
no.multimedia,no.ms-windows,573,31206,26667
no.general,no.mail.drift,572,572652,195646
no.alt.flame,no.net,571,156932,49658
no.alt.katter,no.alt.motorsykler,571,5789,2679
no.net,no.mail.drift,568,23765,19184
no.general,no.alt.god.jul,567,572652,195646
no.kjemi,no.havforskning,567,25136,21500
no.net,no.jus,567,23765,19184
no.elektronikk,no.alt.frustrasjoner,566,24612,17793
no.news.diverse,no.litteratur,565,62629,27354
no.uninett.skole,no.general,564,3275,1722
no.general,no.alt.pompel-og-pilt,563,572652,195646
no.general,no.alt.radio-tv.irma-1000,563,572652,195646
no.litteratur,unknown,563,29283,20463
no.medisin,no.multimedia,560,14388,9060
no.embnet,no.alt.tegneserier,559,17286,16200
no.linux,no.jus,559,55051,23868
no.marked,no.vitser,558,50284,36323
no.general,no.musikk.gitar,557,572652,195646
no.alt.tegneserier,no.c,554,18956,14973
no.marked.data,no.biz.annonser.data,554,33874,20913
no.medisin,no.linux,554,14388,9060
no.news.diverse,no.telepost,554,62629,27354
no.alt.tegneserier,no.ef,553,18956,14973
no.alt.tegneserier,no.embnet,553,18956,14973
no.net,no.multimedia,552,23765,19184
no.musikk,no.jus,548,140052,23221
no.c,no.alt.tegneserier,546,23413,17227
no.ef,no.alt.tegneserier,546,29077,23384
no.multimedia,no.net,546,31206,26667
no.net,no.mac,546,23765,19184
no.elektronikk,no.alt.diskusjoner,545,24612,17793
no.marked.jobb,no.medisin,545,20015,16808
no.news.diverse,no.marked.jobb,545,62629,27354
no.news.diverse,no.alt.config,544,62629,27354
no.radio_tv,no.general,544,6092,3057
no.alt.motorsykler,no.alt.diskusjoner,542,272638,18101
no.audio,no.c,542,47065,21499
no.audio,no.ef,542,47065,21499
no.jus,no.marked.data,541,59888,34547
no.embnet,no.audio,538,17286,16200
no.news.diverse,no.www,537,62629,27354
no.telepost,no.news.diverse,534,7580,5114
no.c,no.audio,533,23413,17227
no.ef,no.audio,532,29077,23384
no.alt.config,no.news.diverse,531,6324,4840
no.audio,no.embnet,530,47065,21499
no.biz.annonser.data,no.marked.data,530,2365,1608
no.vitser,no.marked,529,23838,5996
no.alt.diskusjoner,no.norsk,526,168368,81207
no.elektronikk,no.vitser,526,24612,17793
no.alt.tegneserier,no.audio,525,18956,14973
no.audio,no.alt.tegneserier,525,47065,21499
no.musikk,no.linux,525,140052,23221
no.elektronikk,no.general,524,24612,17793
no.mail.drift,no.net,524,20201,18601
no.musikk,no.mac,522,140052,23221
no.linux,no.musikk,521,55051,23868
no.vitser,no.elektronikk,518,23838,5996
no.prat.narkotika,unknown,517,19057,7971
no.embnet,no.general,516,17286,16200
no.kjemi,no.net,516,25136,21500
no.org.efn.diskusjon,no.jus,515,11860,7006
no.jus,no.kjemi,513,59888,34547
no.jus,no.litteratur,513,59888,34547
no.mac,no.musikk,512,71238,24654
no.multimedia,no.elektronikk,512,31206,26667
no.folklore.edb,no.unix,509,2185,1647
no.folklore.edb,no.linux,508,2185,1647
no.irc,no.linux,508,53520,29112
no.unix,no.pc,508,14256,4998
no.marked.jobb,no.marked.data,506,20015,16808
no.net,no.kjemi,506,23765,19184
no.irc,no.marked,504,53520,29112
no.jus,no.mail.drift,503,59888,34547
no.marked,no.irc,503,50284,36323
no.mac,no.irc,502,71238,24654
no.kjemi,no.jus,500,25136,21500
no.medisin,no.marked.jobb,499,14388,9060
no.medisin,no.mail.diverse,497,14388,9060
no.linux,no.irc,495,55051,23868
no.medisin,no.mac,494,14388,9060
no.havforskning,no.kjemi,493,17004,15678
no.marked.data,no.marked.jobb,493,33874,20913
no.medisin,no.mail.drift,493,14388,9060
no.jus,no.mac,492,59888,34547
no.folklore.edb,no.pc,487,2185,1647
no.litteratur,no.film,487,29283,20463
no.marked,no.film,486,50284,36323
no.alt.mat,no.alt.frustrasjoner,485,13614,6912
no.marked,no.musikk.gitar,483,50284,36323
no.ms-windows,unknown,482,21902,9781
no.net,no.ef,481,23765,19184
no.alt.tegneserier,no.havforskning,480,18956,14973
no.film,no.litteratur,479,51355,19630
no.alt.diskusjoner,no.net,477,168368,81207
no.news.diverse,no.musikk,477,62629,27354
no.news.diverse,no.norsk,477,62629,27354
no.jus,no.norsk,476,59888,34547
no.jus,no.multimedia,475,59888,34547
no.irc,no.musikk,474,53520,29112
no.alt.config,no.alt.motorsykler,473,6324,4840
no.alt.god.jul,no.ef,473,14888,13251
no.religion,no.prat.politikk,473,143204,29159
no.litteratur,no.jus,472,29283,20463
no.litteratur,no.musikk,472,29283,20463
no.norsk,no.marked,472,107590,28991
no.alt.frustrasjoner,no.alt.mat,471,142818,41663
