from_newsgroup,to_newsgroup,number_of_references
no.bibsys,no.biz.diskusjoner,396
no.bibsys,no.biz.nettilbydere,396
no.bil,no.biz,396
no.biz.nettilbydere,no.marked.data,396
no.bolig,no.biz,396
no.slekt,no.slekt.programmer,396
no.alt.diskusjoner,no.audio,395
no.audio,no.bibsys,395
no.alt.tegneserier,no.bibsys,393
no.pc,no.unix,393
no.alt.sjokolade,no.bibsys,392
no.alt.tegneserier,no.alt.god.jul,392
no.bibsys,no.alt.pompel-og-pilt,392
no.bibsys,no.alt.radio-tv.irma-1000,392
no.bibsys,no.alt.sjokolade,392
no.bibsys,no.alt.tegneserier,392
no.vitser,no.marked,392
no.alt.sjokolade,no.alt.god.jul,391
no.bibsys,no.alt.god.jul,391
no.bil,no.alt.god.jul,391
no.bil,no.alt.pompel-og-pilt,391
no.bil,no.alt.radio-tv.irma-1000,391
no.alt.diskusjoner,no.pressemeldinger,389
no.audio,no.alt.god.jul,386
no.vitser,no.elektronikk,385
no.bil,no.mac,384
no.film,no.alt.tegneserier,382
no.folklore.edb,no.unix,382
no.lisp,no.general,382
no.mac,no.news.diverse,382
no.elektronikk,no.vitser,381
no.general,no.bil,381
no.elektronikk,no.prat.seksualitet,380
no.spill,no.marked,380
no.www,no.biz.annonser.data,379
no.religion,no.radio-tv,376
no.marked,no.spill,373
no.folklore.edb,no.linux,372
no.religion,no.ef,370
no.hobby.diverse,no.media,367
no.musikk,no.marked.data,364
no.musikk,no.musikk.gitar,362
no.hobby.diverse,no.amiga,360
no.elektronikk,no.multimedia,356
no.psykologi,no.vit.diverse,356
no.pressemeldinger,no.alt.diskusjoner,353
no.tele,no.pc,353
no.marked.diskusjon,no.marked.data,351
no.marked.data,no.musikk,350
no.news.diverse,no.slekt,350
no.prat.seksualitet,no.pc,350
no.elektronikk,no.audio,349
no.audio,no.elektronikk,348
no.elektronikk,no.ms-windows,346
no.prat.seksualitet,no.www,346
no.tele,no.jus,346
no.kjemi,unknown,345
no.audio,no.marked.data,344
no.www,no.amiga,344
no.prat.seksualitet,no.elektronikk,342
no.prat.seksualitet,no.marked,342
no.amiga,no.marked,341
no.elektronikk,no.spill,341
no.general,no.reiser,340
no.www,no.vr,340
no.ms-windows,no.biz.annonser.data,339
no.folklore.overtro,no.vit.diverse,338
no.folklore.edb,no.pc,337
no.prat.politikk,no.prat.seksualitet,336
no.spill,no.ms-windows,335
no.typografi,unknown,333
no.www,no.marked.jobb,333
no.ms-windows,no.spill,332
no.general,no.biz.diskusjoner,330
no.biz.annonser.data,no.ms-windows,329
no.musikk,no.hobby.diverse,328
no.net,unknown,327
no.alt.flame,no.elektronikk,326
no.general,no.alt.tegneserier,325
no.alt.god.jul,unknown,324
no.hobby.diverse,no.musikk,324
no.marked.data,no.biz.nettilbydere,321
no.norsk.fagord,unknown,321
no.tele,no.www,321
no.slekt,no.news.diverse,316
no.general,no.bibsys,314
no.speider,unknown,311
no.marked.data,no.audio,307
no.alt.diskusjoner,no.alt.gledesutbrudd,305
no.pressemeldinger,no.news.diverse,305
no.news.diverse,no.mail.diverse,304
no.reiser,no.general,304
no.media,no.vit.diverse,302
no.radio-tv,no.media,302
no.vitser,no.general,302
no.news.diverse,no.pressemeldinger,301
no.net,no.linux,299
no.radio-tv,no.alt.god.jul,297
no.elektronikk,no.marked.data,296
no.marked.data,no.elektronikk,295
no.marked.data,no.mac,295
no.news.diverse,no.marked.data,295
no.folklore.edb,unknown,294
no.vit.diverse,no.media,294
no.vit.diverse,no.alt.mat.drikke,293
no.hobby.diverse,no.ms-windows,291
no.norsk,no.film,291
no.amiga,no.elektronikk,290
no.ms-windows,no.hobby.diverse,289
